threshold,precision,recall,f1,tp,fp,fn
0.05,0.3505535055350554,0.9313725490196079,0.5093833780160858,95,176,7
0.1,0.4635416666666667,0.8725490196078431,0.6054421768707483,89,103,13
0.15000000000000002,0.635036496350365,0.8529411764705882,0.7280334728033473,87,50,15
0.2,0.7456140350877193,0.8333333333333334,0.787037037037037,85,29,17
0.25,0.8095238095238095,0.8333333333333334,0.8212560386473431,85,20,17
0.3,0.865979381443299,0.8235294117647058,0.8442211055276382,84,13,18
0.35000000000000003,0.9318181818181818,0.803921568627451,0.8631578947368421,82,6,20
0.4,0.9367088607594937,0.7254901960784313,0.8176795580110497,74,5,28
0.45,0.9473684210526315,0.7058823529411765,0.8089887640449439,72,4,30
0.5,0.9583333333333334,0.6764705882352942,0.7931034482758621,69,3,33
0.55,0.9545454545454546,0.6176470588235294,0.75,63,3,39
0.6000000000000001,0.9516129032258065,0.5784313725490197,0.7195121951219512,59,3,43
0.6500000000000001,0.9649122807017544,0.5392156862745098,0.6918238993710691,55,2,47
0.7000000000000001,0.9565217391304348,0.43137254901960786,0.5945945945945946,44,2,58
0.7500000000000001,0.95,0.37254901960784315,0.5352112676056339,38,2,64
0.8,0.9411764705882353,0.3137254901960784,0.47058823529411764,32,2,70
0.8500000000000001,1.0,0.28431372549019607,0.44274809160305345,29,0,73
0.9000000000000001,1.0,0.1568627450980392,0.2711864406779661,16,0,86
