threshold,precision,recall,f1,tp,fp,fn
0.05,0.39381270903010035,0.9978813559322034,0.564748201438849,471,725,1
0.1,0.40663176265270506,0.9872881355932204,0.5760197775030902,466,680,6
0.15000000000000002,0.4453360080240722,0.940677966101695,0.6044928522804629,444,553,28
0.2,0.47581552305961755,0.8961864406779662,0.6216017634092579,423,466,49
0.25,0.5,0.8114406779661016,0.6187399030694669,383,383,89
0.3,0.5313935681470138,0.7351694915254238,0.6168888888888888,347,306,125
0.35000000000000003,0.5652173913043478,0.6885593220338984,0.620821394460363,325,250,147
0.4,0.604040404040404,0.6334745762711864,0.6184074457083764,299,196,173
0.45,0.6443418013856813,0.5911016949152542,0.616574585635359,279,154,193
0.5,0.6675531914893617,0.5317796610169492,0.5919811320754716,251,125,221
0.55,0.6952380952380952,0.4639830508474576,0.556543837357052,219,96,253
0.6000000000000001,0.7246376811594203,0.423728813559322,0.5347593582887701,200,76,272
0.6500000000000001,0.7709251101321586,0.3707627118644068,0.5007153075822603,175,52,297
0.7000000000000001,0.7783783783783784,0.3050847457627119,0.4383561643835617,144,41,328
0.7500000000000001,0.7959183673469388,0.2478813559322034,0.3780290791599354,117,30,355
0.8,0.831858407079646,0.19915254237288135,0.32136752136752134,94,19,378
0.8500000000000001,0.8611111111111112,0.13135593220338984,0.22794117647058826,62,10,410
0.9000000000000001,0.8947368421052632,0.07203389830508475,0.13333333333333333,34,4,438
